id,name,address_country,risk_level,fractions,building_year,property_category,market_segment,investment_duration_months,market_value,asking_price,deed_value,taxes,formalities,development_taxes,acquisition_commissions,distribution_commission,licensing_fees,promotion_costs,other_management_costs,investment_value,income_from_sale,other_financial_costs,rents,promoter_benefit,sale_commission,management_fee,yield,status,motivo
,Portimão 3,Portimão,4,3,1988,{APARTMENT},RESIDENTIAL,12,143100,90000,85000,0,2378,0,0,5322,0,0,0,92700,99967,0,6000,0,0,PORTUGAL_2018_NO_IVA,"15,52%",ARCHIVED,vendedor não compareceu na escritura
,Caldelas,Braga,1.8,3,2008,{BUILDING},RESIDENTIAL,12,189000,140000,140000,0,3125,0,0,8875,0,0,0,152000,153500,0,9000,0,0,PORTUGAL_2018_NO_IVA,"15,52%",ARCHIVED,vendedor não aceitou as nossas condições
,Prédio inacabado,Campanhã,4,35,2009,{BUILDING},RESIDENTIAL,18,3044025,2900000,2400000,0,179250,0,0,147600,0,2487500,0,5214350,5214350,0,0,0,435758,PORTUGAL_2019_IVA,"24,14%",ARCHIVED,falhou na subscrição
,Clube do Lago,Estoril,3,3,2007,,RESIDENTIAL,12,650000,600000,550000,0,5500,0,0,20295,0,0,0,575795,575795,0,18000,0,0,PORTUGAL_2018_NO_IVA,"14,98%",ARCHIVED,falhou na subscrição
,Estoril 177,Estoril,1,5,1989,{HOUSE},RESIDENTIAL,12,4000000,750000,700000,0,10000,0,0,25830,0,0,0,735830,735830,0,22000,0,0,PORTUGAL_2018_NO_IVA,"16,43%",ARCHIVED,falhou na subscrição
,Rosário 74,Estoril,3,4,2012,{APARTMENT},RESIDENTIAL,12,850000,650000,550000,0,6900,0,0,20000,0,0,0,576900,576900,0,9000,0,0,PORTUGAL_2019_IVA,"9,99%",ARCHIVED,falhou na subscrição
,Alcabideche 66,Alcabideche,2,5,1995,{HOUSE},RESIDENTIAL,12,950000,575000,530000,0,7250,0,0,30750,0,0,0,568000,568000,0,0,0,0,PORTUGAL_2018_NO_IVA,"10,34%",ARCHIVED,proprietário desistiu do negócio
,24 de Junho,Altura,2.6,4,2009,{APARTMENT},RESIDENTIAL,12,427000,350000,350000,0,5975,0,0,21525,0,0,0,377500,377500,0,17520,0,0,PORTUGAL_2019_IVA,"11,09%",ARCHIVED,falhou na subscrição
,João de Deus 58,Portimão,2.6,3,1976,{APARTMENT},RESIDENTIAL,12,99750,65000,57500,0,2114,0,0,3536,0,0,0,63150,63150,0,6000,0,0,PORTUGAL_2019_IVA,"14,48%",ARCHIVED,vendedor não compareceu na escritura
,Twin Towers,Lisboa,2,5,2001,{APARTMENT},RESIDENTIAL,12,1658700,500000,500000,0,7750,0,0,30750,0,0,0,538500,538500,0,0,0,0,PORTUGAL_2019_IVA,"11,14%",ARCHIVED,falhou na subscrição
,Prédios Montalvão,Setúbal,3,16,1988,{BUILDING},RESIDENTIAL,18,1650000,1400000,1000000,0,10000,0,0,61500,0,0,0,1071500,1071500,0,0,0,113775,PORTUGAL_2019_IVA,"53,77%",ARCHIVED,falta de capacidade do clube para subscrever o projeto
,7 Rios,Lisboa,2,2,2009,{APARTMENT},RESIDENTIAL,12,664000,250000,250000,0,5000,0,0,15375,0,0,0,270375,270375,0,0,0,0,PORTUGAL_2018_NO_IVA,"13,76%",ARCHIVED,exercício do direito de preferência (por via de valor de compra muito reduzido)
,Marina Expo,Lisboa,3,4,2012,{APARTMENT},RESIDENTIAL,12,1090000,800000,800000,0,5000,0,0,39360,0,0,0,844360,844360,0,0,0,0,PORTUGAL_2019_IVA,"11,12%",ARCHIVED,falhou na subscrição
,Prédio 5 Outubro,Setúbal,4,4,1951,{BUILDING},RESIDENTIAL,12,285000,210000,180000,0,5000,0,0,11070,0,0,0,196070,196070,0,0,0,15375,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,atraso na avaliação
,Terreno Meco,Sesimbra,,4,2005,{LAND},RESIDENTIAL,12,350000,500000,400000,3200,2950,0,0,24600,0,4000,250,435000,550000,500,0,0,33825,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,rejeitado na avaliação
,Ermidas do Sado,Setúbal,4, ,,{LAND},RESIDENTIAL,18,995400,450000,750000,3750,6000,0,0,46125,0,0,125,806000,1050000,500,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falhou na subscrição
,Prédio na Torre,Cascais,,6,,{BUILDING},RESIDENTIAL,18,1800000,500000,650000,3250,3525,0,0,39975,0,0,250,697000,845000,250,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falhou por falta de documentação
,Apartamento Beloura,Sintra,,2,,{APARTMENT},RESIDENTIAL,12,725000,550000,450000,3600,3475,0,30000,27675,0,0,250,515000,680000,1750,0,0,41820,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,vendedor não aceitou as nossas condições
,Projeto 24 Vivendas,Sesimbra,,24,,{HOUSE},RESIDENTIAL,24,15000000,3700000,3000000,24000,5250,0,0,184500,50000,6950000,250,10214000,15000000,5000,0,0,922500,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falta de capacidade do clube para subscrever o projeto
,4 Frações + 3 estacionamentos,Stº André,,7,,{HOUSE},RESIDENTIAL,12,896000,500000,500000,0,4500,0,0,30750,0,0,250,535500,625000,0,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,chumbou nos curadores por via da localização
,Prédio Afonso III,Lisboa,4,8,1960,{BUILDING},RESIDENTIAL,12,980000,1100000,900000,7200,2700,0,0,55350,0,0,250,965500,1200000,500,0,0,73800,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,vendedor não aceitou as nossas condições
,Construção,Bobadela,,4,,{APARTMENT},RESIDENTIAL,12,525000,700000,700000,3500,4200,0,0,43050,0,0,250,751000,1000000,0,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,valor de mercado injustificado
,Luisa Tody,Setúbal,,3,1950,{APARTMENT},RESIDENTIAL,12,440000,300000,225000,1800,3112,0,0,13838,0,100000,250,344000,425000,1500,0,0,26138,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,risco elevado. valor de venda muito aproximado do valor de mercado
,2 Moradias,Restelo,,2,,{HOUSE},RESIDENTIAL,12,3000000,900000,900000,0,4400,0,0,55350,0,0,250,960000,1100000,0,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falta de capacidade do clube para subscrever o projeto
,Moradia,Mafra,,4,,{HOUSE},RESIDENTIAL,24,350000,600000,400000,3200,4450,0,0,24600,0,0,250,432500,510000,1438,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,asking price desajustado
,Projeto Aprovado Apartamentos,Vialonga,3,52,,{BUILDING},PROMOTION,12,3100000,1700000,1500000,0,15000,0,0,92250,0,55350,0,1662600,2100000,0,0,0,129150,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,atraso na avaliação
,11 Vivendas Corredoura,Sesimbra,4,11,,{HOUSE},RESIDENTIAL,18,474300,425000,350000,1750,3370,0,0,21525,0,0,255,376900,490000,500,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falhou na subscrição
,Moradia Altura,Altura,,3,1992,{HOUSE},RESIDENTIAL,12,270000,235000,235000,1880,1917,0,0,14453,0,0,250,253500,299000,0,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,asking price desajustado
,Prédios + Moradias,Santarém,,9,2008,{BUILDING},PROMOTION,18,2250000,600000,450000,3600,3425,0,0,70725,25000,675000,250,1228000,1600000,1000,0,0,0,PORTUGAL_2019_IVA,"16,00%",ARCHIVED,falhou por falta de documentação